median_p4 median_p5 median_p6 satellite time_mjd
0.005985 0.00113 0.000255 14 58164.999222407
0.00575 0.00112 0.000255 14 58165.999222407
0.00579 0.00112 0.000248 14 58166.999222407
0.006105 0.00113 0.000249 14 58167.999222407
0.005595 0.00113 0.000249 14 58168.999222407
0.00561 0.00114 0.00025 14 58169.999222407
0.006659999999999999 0.00115 0.000254 14 58170.999222407
0.00537 0.00115 0.000254 14 58171.999222407
0.00562 0.00108 0.000246 14 58172.999222407
0.00556 0.00111 0.000243 14 58173.999222407
0.00497 0.00109 0.000242 14 58174.999222407
0.00561 0.0011 0.000243 14 58175.999222407
0.00497 0.0011 0.000243 14 58176.999222407
0.00563 0.00109 0.000244 14 58177.999222407
0.00497 0.00112 0.000245 14 58178.999222407
0.005925 0.00113 0.000245 14 58179.999222407
0.00562 0.00113 0.000249 14 58180.999222407
0.00562 0.00113 0.000248 14 58181.999222407
0.00562 0.00113 0.000248 14 58182.999222407
0.00562 0.00111 0.000248 14 58183.999222407
0.00496 0.00112 0.000247 14 58184.999222407
0.00557 0.00112 0.000247 14 58185.999222407
0.00562 0.00111 0.000248 14 58186.999222407
0.005915 0.00111 0.00025 14 58187.999222407
0.00561 0.00111 0.00025 14 58188.999222407
0.00561 0.00112 0.000251 14 58189.999222407
0.00627 0.00113 0.000252 14 58190.999222407
0.00626 0.00115 0.000255 14 58191.999222407
0.00626 0.00114 0.000255 14 58192.999222407
0.00587 0.00113 0.000253 14 58193.999222407
0.00561 0.00112 0.000251 14 58194.999222407
0.005755 0.00112 0.000248 14 58195.999222407
0.00561 0.0011 0.000249 14 58196.999222407
0.00626 0.00115 0.000253 14 58197.999222407
0.00561 0.00114 0.0002565 14 58198.999222407
0.00561 0.00114 0.000254 14 58199.999222407
0.00496 0.0011 0.000247 14 58200.999222407
0.00497 0.00109 0.000244 14 58201.999222407
0.00561 0.0011 0.000242 14 58202.999222407
0.00563 0.0011 0.000244 14 58203.999222407
0.005235 0.00111 0.000245 14 58204.999222407
